Source,Entry,PLOT,PlotYield,TW,Moisture,Lodging,Ht,HD,WH,Other
445,MD00W53-07-1,2270,1854,77.9,11.8,0,95,23,90,
458,W06-089,2271,2224,78,11.8,2,105,25,100,
Rich,Richland,2272,1897,74.8,11.2,2,105,28,90,
38,94032,2273,1943,73.8,11.5,1,100,29,90,
418,MSU Line E5011A,2274,2328,75.1,11.6,1,90,27,95,
Jen,Jensen,2275,2065,74.3,11.6,1,105,29,95,
433,Branson,2276,2507,75.8,11.9,1,95,24,90,
NY,NY7088,2277,2289,76.3,11.5,2,105,27,100,
350,99010,2278,2105,75.8,11.7,0,102.5,29,100,
310,96021,2279,1881,76.7,11.5,3,115,27,80,
586,99046-357,2280,2020,74.9,11.5,1,110,29,100,
423,MSU Line E3024,2281,2306,72.9,11.8,0,95,30,85,
405,NY07014-141,2282,2253,76.8,11.7,0,110,28,90,
243,96043,2283,2343,75.4,11.6,0,105,29,95,
582,NY03015-346,2284,2443,76.1,11.7,0,105,27,90,
512,NY03010-157,2285,2338,76.3,11.9,0,95,26,90,
247,96007,2286,1857,74.6,11,3,110,29,95,
NY,NY7088,2287,2045,74,10.9,4,110,27,90,
520,99069-179,2288,2067,73.1,11.3,4,105,29,90,
562,NY99025-281,2289,1833,72.5,11.2,4,100,27,90,
517,NY99028-170,2290,2024,72.9,10.9,4,110,28,75,
199,96152,2291,2251,75.8,11.4,0,100,28,85,
254,99068,2292,2156,74.3,10.9,2,110,28,80,
Jen,Jensen,2293,2170,74.7,11.1,2,100,29,90,
477,OH751,2294,2093,76.2,11.6,3,100,25,95,
505,NY01020-141,2295,2585,75.5,11.6,0,95,27,85,
542,NY01069-228,2296,2249,75,11.4,0,100,30,85,
Rich,Richland,2297,2116,75.5,11.8,1,105,28,90,
543,NY03010-229,2298,2081,75.7,12,0,105,26,60,
595,NY05161-6-408,2299,1329,77.5,11.8,2,105,25,95,
409,NY07018-145,2300,1350,72.4,11.2,4,130,26,95,
412,NY07022-149,2301,1774,75.7,11.5,3,115,30,90,
111,94052,2302,2133,75.8,11.4,1,95,26,95,
547,NY99034-237,2303,1809,78,11.6,1,115,23,90,
463,Blazer exp.,2304,1797,74.5,11.6,3,95,25,90,
NY,NY7088,2305,2235,75.1,11.3,3,105,27,95,
568,NY03015-308,2306,2361,75.5,11.6,2,105,27,90,
368,99046,2307,1782,73.3,11.3,3,105,29,95,
50,94052,2308,1923,76,11.4,2,102.5,26,80,
447,G89209,2309,2306,76.9,11.6,2,105,24,90,
149,94058,2310,2392,74.6,11.2,0,95,30,95,
361,99028,2311,1959,75.7,11.7,4,115,27,90,
581,NY99069-345,2312,1657,74.2,11.2,4,100,27,90,
Cal,Caledonia,2313,2290,74.2,11.4,1,100,27,90,
548,NY99069-240,2314,2092,73.8,11,3,105,27,85,
485,FS 300,2315,2372,78.6,11.7,2,100,24,90,
62,W105-63,2316,1631,75.1,11.2,4,125,28,95,
598,8080xCal-225-437,2317,1514,75.7,11.6,3,115,25,90,
414,NY07028-151,2318,1712,72.5,10.4,2,100,28,90,
537,NY03015-223,2319,2217,74.9,10.9,2,105,27,95,
Rich,Richland,2320,2081,75.2,11.4,2,115,28,90,
,,,,,,,,,,
,Need to confirm sources 602 and 603,,,,,,,,,
,THIS IS SNYDER,,,,,,,,,
