GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
OH12,OH12-185-48,3,1102,2863,79.5,12.93,R,5,14,265,2184,R,W/Br,N,,,27,112,0,0,0,,,
1052,MSU Line E8052,3,1103,2507,78.6,13.02,W,5,15,296,2257,W,W,A,,,29,107,1,0,0,,,
872,NY07073-872,3,1104,2855,79.9,13.31,80R,5,16,305,2468,S,W,A,B/G 10% N,,28,107,1,0,0,,,
1344,NY11017-03-03-1344,3,1105,2624,78.7,13.31,R,5,17,336,149,R,,,,,30,102,1,1,0,,,
OH20,OH12-259-48,3,1106,2676,81.6,13.47,R,5,18,345,2253,R,W,N,,,29,107,0,5,0,,,
1051,MSU Line E6032,3,1107,2797,79.3,13.24,80W,5,19,376,2238,W,W,A,,,28,107,0,0,0,,,
1370,NY11025-07-10-1370,3,1108,3014,78.7,13.45,W,5,20,385,180,W,,,,,1,102,0,1,0,,,
918,NY09091-83-918,3,1109,2810,80.8,13.04,W,5,21,416,2135,W,W,N,,,31,112,1,5,0,,,
1355,NY11018-08-12-1355,3,1110,3199,78.7,13.52,R,5,22,425,161,R,,,,,30,112,2,2,0,,,
1353,NY11018-08-06-1353,3,1111,2780,76.7,13.43,R,6,22,426,159,R,,,,,29,107,2,7,0,,,
MSU11,MSU Line F2008,3,1112,2757,75.8,13.32,W,6,21,415,2223,W,W,N,,,31,102,1,5,1,,,
1327,NY11019-1-43-1327,3,1113,2975,79.2,13.56,R,6,20,386,126,R,,,,,29,107,1,0,0,,,
264_check,Medina,3,1114,2878,80.1,13.05,W,6,19,375,checkPlots2015,W,W,N,,,30,117,0,4,0,,,
MSU36,MI14R0329,3,1115,2927,80.5,13.13,R,6,18,346,2140,R,W,A,,,29,107,0,0,0,,,
1065,VA08W-294-1065,3,1116,2506,80.4,13.03,R,6,17,335,2038,R,W,N,,,27,91,2,0,0,,,
1348,NY11017-10-22-1348,3,1117,2635,78.2,13.1,R,6,16,306,153,R,,,,,29,112,2,3,0,,,
1289,NY10108-2-13-1289,3,1118,2497,79.5,13.1,50R,6,15,295,2051,S,W,N,,,31,102,0,2,0,,,
OH34,OH12-319-20,3,1119,2847,77.3,12.65,R,6,14,266,2306,R,W,N,,,28,107,2,0,0,,,
622,MD01W270-08-12-622,3,1120,2368,82,12.83,R,6,13,255,1383,R,W,,,,27,97,0,0,1,,,
716_check,NY01016-AN-716,3,1121,2619,79.9,12.96,W,6,12,226,checkPlots2015,W,W,A,,,30,117,2,1,0,,,
1116,09079-6-39-1116,3,1122,2880,77.8,12.89,W,6,11,215,2237,W,BR,N,,,30,117,1,3,0,,,
1184,NY01003-1184,3,1123,3122,79.5,13.06,W,6,10,186,2031,W,W,N,,,31,107,2,1,0,,,
159,NY96047-159,3,1124,2522,79.9,12.56,W,6,9,175,2175,W,BR,N,,,31,102,2,1,0,,,
MSU73,MI14W0055,3,1125,2791,79.3,13.09,W,6,8,146,NA,W,,,,,28,107,0,0,0,,,
1361,NY11019-11-14-1361,3,1126,2719,79.7,13.36,R,6,7,135,168,R,,,,,28,112,1,2,0,,,
OH41,OH13-49-22,3,1127,3160,79.8,12.92,R,6,6,106,2389,R,W,N,,,28,112,0,0,0,,,
1365,NY11025-02-04-1365,3,1128,2977,79.5,13.18,W,6,5,95,173,W,,,,,30,107,0,1,0,,,
1283,NY10102-1-50-1283,3,1129,2731,79.8,13.27,50W,6,4,66,2019,S,W,N,,,31,112,0,3,0,,,
MSU81,MI14R0115,3,1130,2326,78.5,13.08,R,6,3,55,NA,R,,,,,28,107,1,1,0,,,
OH9,OH12-139-49,3,1131,2425,80.6,12.84,R,6,2,26,2328,R,W,N,,,28,127,2,0,1,,,
1318,NY11014-9-17-1318,3,1132,2405,78.8,13.13,W,6,1,15,113,W,,,,,31,122,0,3,4,,,
444,OH05-248-38,4,1133,3279,81,13.09,R,7,1,14,2218,R,BR,N,,,28,107,0,0,0,,,
OH33,OH12-289-4,4,1134,2133,80.5,12.81,R,7,2,27,2438,R,W,A,10% N 10% BR,,27,132,1,5,3,,,
479,Pioneer 25R47,4,1135,3251,79,13.35,R,7,3,54,2476,R,W,A/N,"A/T, N/S",,28,117,0,2,0,,,
1243,NY03043-1243,4,1136,3128,80.7,12.98,W,7,4,67,2161,W,W,N,,,31,102,1,1,0,,,
OH3,OH12-114-5,4,1137,2709,78.9,12.81,R,7,5,94,2020,R,W,A,,,28,107,0,1,0,,,
1336,NY11021-2-61-1336,4,1138,2916,76.9,13.17,R,7,6,107,136,R,,,,,29,97,0,3,0,,,
1273,NY10102-1-04-1273,4,1139,2723,80.3,12.93,50W,7,7,134,2004,S,W,N,,,31,107,0,5,0,,,
1124,NY09087-15-69-1124,4,1140,2623,79.8,13.38,R,7,8,147,3170,R,W,,,,29,112,0,7,0,,,
1277,NY10102-1-17-1277,4,1141,2574,79.3,12.86,50W,7,9,174,2272,S,W,N,,,31,112,0,2,0,,,
482,RO65,4,1142,2680,80.9,13.05,R,7,10,187,2242,R,W,N,,,29,107,1,6,0,,,
1189,NY01020-1189,4,1143,2537,78.9,12.3,W,7,11,214,2348,W,W,A,,,30,91,0,0,0,,,
848,NY05158-848,4,1144,2269,82.4,12.98,W,7,12,227,2414,W,BR,N,,,29,97,0,1,0,,,
818,NY05152-818,4,1145,2804,80.5,13.11,R,7,13,254,2188,R,W,N,,,30,107,1,0,0,,,
MSU98,MI14R0278,4,1146,2490,79.5,12.73,R,7,14,267,NA,R,,,,,27,112,2,0,0,,,
602_check,OH02-12686,4,1147,2952,80,13.46,R,7,15,294,checkPlots2015,R,W,N,,,31,102,0,0,0,,,
878,NY07083-878,4,1148,2849,78.3,12.99,W,7,16,307,2402,W,W,N,,,29,107,1,2,0,,,
268,E0028,4,1149,2795,78.2,12.89,W,7,17,334,2416,W,W,N,,,29,112,0,0,0,,,
1366,NY11025-02-14-1366,4,1150,2698,78.3,12.94,W,7,18,347,175,W,,,,,31,97,0,0,0,,,
MSU71,MI14W0024,4,1151,2814,78.1,13.79,W,7,19,374,NA,W,,,,,28,117,2,3,0,,,
1098,09067-2-86-1098,4,1152,2644,80.9,13.09,R,7,20,387,2380,R,W,N,,,31,107,0,0,0,,,
OH75,OH13-168-18,4,1153,3135,81,13.54,R,7,21,414,2281,R,W,N,,,27,117,2,0,0,,,
928,NY09095-16-928,4,1154,2764,79.7,13.36,W,7,22,427,2254,W,BR,N,,,29,112,0,1,0,,,
MSU87,MI14W0200,4,1155,3025,80.3,13.2,W,8,22,428,NA,W,,,,,30,132,1,5,2,,,
OH48,OH13-64-29,4,1156,2616,82.2,13.18,R,8,21,413,2201,R,W,A,,,28,112,0,3,0,,,
1352,NY11018-02-19-1352,4,1157,2608,80.1,13.44,R,8,20,388,157,R,,,,,27,107,2,7,1,,,
MSU13,MSU Line F2012,4,1158,2534,80,12.74,W,8,19,373,2244,W,W,A,,,29,117,2,5,0,,,
OH52,OH13-72-23,4,1159,2976,79.5,12.99,R,8,18,348,2200,R,W,A,10% N,,28,117,1,2,0,,,
716_check,NY01016-AN-716,4,1160,2730,79.8,13.04,W,8,17,333,checkPlots2015,W,W,A,,,29,117,2,1,0,,,
