Source,Entry,PLOT,KC,PlotYield,TW,Moisture,YldCorKgH,Lodging,Ht,HD,WH,Bird
288,Pioneer_25W36,2165,,1714,73.9,11.8,4544,0,90,31-May,,
446,MD01W233-07-1,2166,R,1281,77.1,11.5,3406,0,78,31-May,,
711,7388xD8006 - 23,2167,,1168,71.3,11.6,3103,3,97,1-Jun,,3
489,FS_430W,2168,,1463,71.2,11.2,3902,1,105,4-Jun,,2
Cal,Caledonia,2169,,1431,70.5,11.5,3805,0,81,1-Jun,,5
481,Emmit,2170,R,1381,74,11.9,3658,0,87,1-Jun,,3
572,NY01066-313,2171,,1352,70.8,10.9,3617,0,92,3-Jun,,
478,Ruby_red_(MSU_E1007R),2172,R,1434,74.3,11.8,3802,4,91,31-May,,3
785,NY06073-77,2173,M,1538,75.3,11.5,4090,1,91,31-May,,
473,7730R,2174,R,1740,77.6,12.3,4590,1,87,30-May,,
533,NY01066-215,2175,,1229,70.6,11.9,3255,3,82,3-Jun,,3
574,NY03100-321,2176,,1319,73.3,11.6,3504,0,90,3-Jun,,
617,FSX888,2177,R,1700,75.7,12.2,4489,0,86,31-May,,
594,NY05161-5-407,2178,,1291,76.6,12.2,3409,0,93,30-May,,
449,G89222,2179,R,1609,73.1,11.6,4274,0,81,31-May,,
438,KY97C-0519-04-07,2180,R,1618,72.3,12.1,4277,0,78,1-Jun,,
486,FS_627,2181,R,1446,73.8,12,3826,0,86,31-May,,
402,NY07011-138,2182,,1332,69,11.4,3546,0,78,1-Jun,,
620,W06*646,2183,R,1399,77.2,12.1,3698,0,82,31-May,,
OH751,OH751,2184,R,1416,74.5,12,3747,0,91,31-May,,
526,NY99028-199,2185,,1186,71.8,11.8,3144,0,87,4-Jun,,
642,NY03087&88,2186,,1274,71.5,11.8,3378,0,82,31-May,,
210,94042,2187,,1381,71.7,11.7,3665,0,95,1-Jun,,
428,TW528-001,2188,,1284,73,11.2,3425,0,90,3-Jun,,
468,VA05W-258,2189,R,1346,74.9,12.2,3554,0,84,1-Jun,,
197,96004,2190,,1489,72,11.8,3948,0,90,31-May,,
543,NY03010-229,2191,,1040,71.7,12.2,2746,0,80,1-Jun,,
498,NY03110-1-2-5-6-120,2192,,1090,73.3,12,2884,1,87,30-May,,
7088,NY7088,2193,,1469,73.1,11.6,3903,0,96,1-Jun,,
721,NY07105-57,2194,,1374,74.5,11.6,3650,1,96,1-Jun,,
523,NY03093&94-190,2195,,1451,70.1,11.4,3862,0,77,1-Jun,,
587,NY03015-360,2196,,1293,72.2,11.8,3428,0,75,3-Jun,,
287,Pioneer_25W43,2197,,1393,73.4,11.7,3697,0,77,31-May,,
782,NY06073-66,2198,M,1294,76.9,11.5,3441,1,85,29-May,,
268,E0028,2199,,1388,71.9,11.3,3698,0,86,31-May,,
136,94025,2200,,1397,73.5,11.5,3715,0,80,1-Jun,,
290,Ava,2201,,1179,73.8,11.7,3129,0,82,3-Jun,,
662,SynPHS SSS-1,2202,R,1188,73.7,12,3143,0,82,30-May,,
Jen,Jensen,2203,,1189,71.8,11.9,3149,0,86,3-Jun,,
433,Branson,2204,R,1662,74.4,12.3,4384,1,80,30-May,,
550,NY99069-249,2205,,1375,72.6,12.1,3635,0,80,31-May,,
470,AR98023-5-1,2206,R,1379,72.9,12.4,3634,0,77,1-Jun,,
667,93300SP,2207,,1314,72.6,11.7,3487,0,81,1-Jun,,
538,NY03015-224,2208,,1295,72.8,12.1,3423,0,78,3-Jun,,
567,NY03100-307,2209,,1313,72.8,12,3474,0,87,3-Jun,,
601,8080xCal-70-449,2210,,1303,74.1,12.4,3434,0,100,31-May,,
207,94052,2211,,1479,71.7,12.3,3902,0,96,3-Jun,,
583,NY01023-347,2212,,1137,73.7,12.3,2999,0,81,3-Jun,,
476,R055,2213,R,1600,74.6,12.5,4212,0,85,31-May,,
456,P02444A1-23-1,2214,R,1358,73,12.2,3586,0,83,31-May,,
457,P05219A1-13-16,2215,R,1390,74.1,12.1,3674,0,75,30-May,,
650,NY03120&126,2216,,1220,74.3,11.8,3235,0,77,30-May,,
422,MSU_Line_E6048,2217,,1618,74.4,12.3,4268,0,77,1-Jun,,
542,NY01069-228,2218,,1295,72.8,11.9,3430,0,85,4-Jun,,
453,B040798,2219,R,1654,75.3,12.2,4368,0,88,31-May,,
532,NY03110-1-2-5-6-212,2220,,1101,72.6,11.8,2919,1,91,1-Jun,,2
Rich,Richland,2221,,1464,73.4,12,3874,0,96,1-Jun,,2
482,RO65,2222,R,1459,75.1,11.9,3864,0,83,31-May,,4
462,GA031238-DH7-7A28,2223,R,1297,75.9,12,3432,0,88,1-Jun,,5
495,NY99049-117,2224,,1297,71.9,11.9,3435,0,83,1-Jun,,4
447,G89209,2225,R,1534,75.4,12,4059,0,90,31-May,,5
7088,NY7088,2226,,1251,73.6,11.9,3313,1,97,3-Jun,,5
318,96028,2227,,1335,73.2,11.5,3550,1,96,4-Jun,,2
504,NY99028-137,2228,,1082,72.1,11.7,2872,0,87,3-Jun,,3
558,NY01066-273,2229,,1423,71.2,11.7,3777,0,95,1-Jun,,
658,NY03087&88,2230,,1410,72.4,12.1,3727,0,85,1-Jun,,3
257,99021,2231,,1514,74,11.6,4022,0,88,4-Jun,,4
564,NY01003-287,2232,,1314,72.8,11.9,3480,0,77,7-Jun,,2
539,NY03100-225,2233,,1285,71.5,11.7,3410,0,91,4-Jun,,
569,NY99069-310,2234,,1298,70.7,12,3435,0,86,1-Jun,,
591,NY01066-367,2235,,1430,72.9,11.9,3788,0,86,1-Jun,,
579,NY99028-334,2236,,1181,70.6,11.8,3131,0,82,4-Jun,,
Rich,Richland,2237,,1214,72.4,12.1,3209,1,87,1-Jun,,
737,NY07106-130,2238,,1378,74.3,12.2,3639,2,97,1-Jun,,
517,NY99028-170,2239,,1302,71.8,12.1,3442,0,91,3-Jun,,2
527,NY03008-200,2240,,1363,72.3,12.3,3596,0,87,31-May,,
546,97083-236,2241,,1460,74.2,11.9,3867,0,87,4-Jun,,
419,MSU_Line_E5011B,2242,,1235,70.7,12.1,3265,0,78,31-May,,
554,NY99025-261,2243,,1229,72.9,11.8,3258,0,96,31-May,,
452,M05*1589,2244,R,1639,75.9,12.4,4319,0,86,31-May,,
OH751,OH751,2245,R,1675,75,12.4,4414,0,97,31-May,,
547,NY99034-237,2246,,1337,75.7,12.3,3527,0,102,30-May,,
423,MSU_Line_E3024,2247,,1085,70.2,12.1,2868,0,81,3-Jun,,
512,NY03010-157,2248,,1346,72.4,12,3562,0,79,31-May,,
518,NY03182&183-174,2249,,1337,71.1,11.8,3545,0,86,31-May,,
585,NY01005-356,2250,,1171,73.7,12.3,3089,0,90,3-Jun,,
621,VA07W-415,2251,R,1238,74.1,11.9,3279,0,79,31-May,,
480,SW80,2252,R,1565,73.9,12,4141,1,95,31-May,,
522,NY03015-185,2253,,1145,69.2,12.1,3027,1,80,1-Jun,,
589,NY03110-1-2-5-6-362,2254,,980,72.7,11.9,2596,2,87,1-Jun,,
435,IL02-19463,2255,R,1426,77.3,11.9,3777,3,90,29-May,,
Cal,Caledonia,2256,,1215,70,11.8,3221,0,80,1-Jun,,
599,8080xCal-105-440,2257,,1409,75.5,12,3728,0,105,1-Jun,,
436,B030543,2258,R,1388,76.3,12.5,3654,0,81,1-Jun,,
505,NY01020-141,2259,,1389,71.1,12.1,3672,0,85,1-Jun,,
440,IL04-8445,2260,R,1709,77.1,12.7,4490,0,85,31-May,,
465,Rumor_exp.,2261,R,1434,73.6,12.4,3779,0,79,31-May,,
747,NY07103-150,2262,,1091,74.1,12.3,2878,0,88,31-May,,
689,Whatford/7388 - 170,2263,,1396,75,12.3,3683,0,101,4-Jun,,
602,OH02-12686,2264,R,1334,74.8,12.3,3519,0,96,1-Jun,,
682,Whatford/7388 - 19,2265,,1316,76,12.6,3461,1,100,2-Jun,,
548,NY99069-240,2266,,1164,72.2,12.1,3077,0,80,1-Jun,,
534,NY01005-216,2267,,1227,74.9,12.3,3237,0,92,1-Jun,,
509,NY99069-148,2268,,1216,70.4,11.9,3221,0,80,1-Jun,,2
701,7388xD8006 - 149,2269,,1228,70.9,12,3249,0,91,3-Jun,,2
437,KY97C-0321-02-01,2270,R,1522,72.1,12.2,4019,0,80,1-Jun,,2
484,Pioneer_25R39,2271,R,1528,74.2,12.5,4023,0,82,1-Jun,,
Jen,Jensen,2272,,1329,72.1,12.1,3513,0,93,3-Jun,,
769,07070-4-26,2273,,1120,68.9,11.8,2969,0,67,31-May,,3
434,LA01*425,2274,R,1548,75.5,12.5,4076,0,87,31-May,,3
471,NC05-21090,2275,R,1367,76.2,12,3617,0,77,31-May,,5
249,99059,2276,,1259,73.5,12.2,3325,0,80,2-Jun,,3
458,W06-089,2277,R,1313,76.1,12.3,3464,0,87,31-May,,5
544,NY03015-231,2278,,675,74.2,12,1786,0,78,3-Jun,,20
568,NY03015-308,2279,,737,73.8,12.1,1948,0,78,1-Jun,,20
520,99069-179,2280,,876,72,12.1,2316,2,86,4-Jun,,20
431,Roane,2281,R,1270,77.5,12.3,3350,0,78,1-Jun,,15
Jen,Jensen,2282,,1000,73.1,12.1,2643,0,87,4-Jun,,5
410,NY07020-147,2283,,1125,72.3,11.6,2989,0,85,31-May,,7
644,NY03087&88,2284,,1122,70.3,11.9,2972,0,85,1-Jun,,5
675,8080xCal - 127,2285,,1015,68.5,11.8,2691,0,83,3-Jun,,3
726,NY07105-64,2286,R,1207,73,12.1,3191,1,95,2-Jun,,
406,NY07015-142,2287,,1280,73.6,12.3,3377,0,101,2-Jun,,
492,NY01067-113,2288,,1373,76.5,12,3633,1,86,4-Jun,,
439,KY97C-0508-01-01A-1,2289,R,1551,75,12.1,4100,0,83,31-May,,
407,NY07016-143,2290,,1302,70.8,11.9,3449,0,87,4-Jun,,
616,HY116-SRW,2291,R,1434,72.4,11.9,3798,0,90,1-Jun,,
383,99068,2292,,1253,73.6,12.3,3305,0,90,4-Jun,,
126,96153,2293,,1230,72.1,11.9,3258,0,73,1-Jun,,
455,P99751RA1-6-3-94,2294,R,1525,76.5,12.1,4031,0,77,31-May,,
624,MO 050921,2295,R,1370,74.3,12,3625,0,81,3-Jun,,
695,Whatford/7388 - 61,2296,,1310,74.8,12.6,3445,0,97,3-Jun,,
443,OH04-268-39,2297,R,1853,74,12.3,4888,1,100,3-Jun,,
Rich,Richland,2298,,1534,74.1,12.3,4047,0,98,1-Jun,,
560,NY01018-276,2299,,1419,73.2,12.3,3743,0,76,1-Jun,,
241,99027,2300,,1489,74,12.1,3936,0,80,31-May,,
146,96153,2301,,1569,73.3,12.1,4147,0,83,31-May,,
525,NY99048-194,2302,,1419,72.4,12,3755,0,100,3-Jun,,
562,NY99025-281,2303,,1191,70.4,12.2,3145,0,83,1-Jun,,
413,NY07023-150,2304,,1521,74.1,12.2,4017,0,101,1-Jun,,
508,NY99049-144,2305,,1302,70.6,12,3445,0,87,31-May,,
612,SE00 10279-3,2306,,1436,69.2,12,3800,2,97,31-May,,
421,MSU_Line_E5038,2307,,1429,74.2,12.4,3766,0,84,3-Jun,,
760,NY07105-54,2308,,1213,73.4,12.1,3206,0,96,1-Jun,,
Cal,Caledonia,2309,,1309,70.8,12,3464,0,83,1-Jun,,
474,Bess,2310,R,1234,74.8,12.5,3249,1,86,31-May,,0
673,8080x7388 - 93,2311,,1195,72.8,12,3162,0,88,2-Jun,,0
483,Pioneer_25R62,2312,R,1696,72.1,12.1,4483,0,85,31-May,,3
571,NY99069-312,2313,,1531,74.3,12.2,4043,0,90,1-Jun,,3
7088,NY7088,2314,,1368,74.4,12.5,3602,0,97,1-Jun,,0
499,NY99049-126,2315,,1303,73.9,12.2,3441,0,87,3-Jun,,3
549,99068-248,2316,,1477,73.7,12.2,3900,0,96,1-Jun,,22
274,NY03180FHB.10,2317,,1276,70.4,11.7,3386,0,91,1-Jun,,2
622,MD01W270-08-12,2318,R,1205,77.4,12,3188,0,80,30-May,,2
275,NY103.208.7263,2319,,1107,74.1,12.5,2914,1,87,4-Jun,,2
570,NY03015-311,2320,,1229,70.9,12.3,3242,0,80,1-Jun,,4
491,NY99028-111,2321,,1123,71.3,12,2971,0,88,4-Jun,,3
699,7388xD8006 - 32,2322,,1381,71.1,12,3654,0,96,31-May,,0
445,MD00W53-07-1,2323,R,1421,76.2,12.3,3749,0,86,31-May,,2
528,NY03015-202,2324,,1188,71.1,12.4,3131,0,86,1-Jun,,2
606,TW528-003,2325,,1320,73.9,12.4,3479,0,91,1-Jun,,2
121,94025,2326,,1295,72.4,12.2,3420,0,82,1-Jun,,3
OH751,OH751,2327,R,1497,74.7,12.4,3945,0,92,31-May,,3
521,NY03082-183,2328,,1358,73.3,12.1,3590,0,87,1-Jun,,5
411,NY07021-148,2329,,1164,75.2,11.9,3083,0,96,30-May,,5
561,NY01066-278,2330,,1314,72.1,11.9,3480,0,91,1-Jun,,5
477,OH751,2331,R,1496,75.3,12.6,3935,0,95,31-May,,5
467,VA05W-168,2332,R,1522,78.5,12.8,3995,0,80,30-May,,5
565,NY99069-289,2333,,1086,72.1,11.8,2879,0,76,1-Jun,,20
490,NY03015-108,2334,,1056,74.9,11.8,2800,0,88,4-Jun,,20
7088,NY7088,2335,,1427,74.3,11.9,3780,0,97,3-Jun,,10
380,99066,2336,,1564,72.4,11.6,4155,3,103,3-Jun,,5
