Source,Entry,PLOT,KC,PlotYield,TW,Moisture,YldCorKgH,Lodging,Ht,HD,WH,Other
419,MSU_Line_E5011B,3125,,2076,74.7,12.6,5460,0,81,1-Jun,95,
647,NY03087&88,3126,,1729,77.1,13,4529,0,77,30-May,,
734,NY07105-79,3127,,1717,75.8,12.7,4511,0,91,2-Jun,,
568,NY03015-308,3128,,1636,74.6,12.9,4290,0,87,1-Jun,95,
474,Bess,3129,R,1972,76.8,13.6,5134,0,87,31-May,,Skip
515,NY99056-161,3130,,2122,76.7,12.9,5564,0,91,1-Jun,,
434,LA01*425,3131,R,2145,78.7,13,5619,0,86,31-May,95,
481,Emmit,3132,R,1949,74.4,13.3,5090,0,91,1-Jun,95,
703,7388xD8006 - 243,3133,,2245,76.6,12.9,5887,0,96,1-Jun,,
OH751,OH751,3134,R,2124,76.1,13.6,5530,1,91,31-May,,
490,NY03015-108,3135,,1695,77.2,13.6,4413,0,85,2-Jun,,
508,NY99049-144,3136,,1758,73.3,12.8,4614,0,85,31-May,95,
273,NY03179FHB.12,3137,,1944,72.8,12.9,5098,0,87,1-Jun,,
545,NY01005-235,3138,,1636,74.8,12.7,4299,0,75,1-Jun,,
Jen,Jensen,3139,,1701,74.3,12.3,4487,0,95,2-Jun,,
548,NY99069-240,3140,,1877,75.2,12.9,4922,0,87,1-Jun,95,
780,NY06073-58,3141,M,1753,76.9,12.7,4606,0,90,30-May,,
528,NY03015-202,3142,,1900,74.7,12.7,4992,0,87,1-Jun,,
504,NY99028-137,3143,,1705,75.5,13.2,4457,0,90,2-Jun,,
781,NY06073-61,3144,M,1685,76.9,12.9,4418,0,86,30-May,,
484,Pioneer_25R39,3145,R,1937,76.2,13.3,5059,0,86,31-May,95,
554,NY99025-261,3146,,1563,75.9,13.1,4090,0,95,31-May,,
740,NY07106-138,3147,R,1560,77.2,12.8,4095,1,91,1-Jun,,
709,7388xD8006 - 224,3148,,2025,77.3,13.1,5299,0,97,30-May,,
584,NY99069-352,3149,,1691,75.6,12.5,4452,0,77,31-May,95,
61,W105.84,3150,,1552,74,13.4,4049,0,93,2-Jun,90,
7088,NY7088,3151,,1885,76,12.7,4953,0,97,1-Jun,,
431,Roane,3152,R,2232,79.3,13.2,5835,0,82,31-May,,
784,NY06073-75,3153,M,1543,77.4,13,4042,0,80,30-May,,
