Source,Entry,CC,AN,PLOT,PlotYield,Moisture,TW,Lodging,HD,Ht,WH,SproutMn,Pedigree,Rogueing
9722,94061,,,6121,1928,14.6,74.4,,,80,100,,NY75087-39/Pio2737w(10),37
9618,96052,,,6122,1937,14.5,74.8,,,80,100,,Karena / Cayuga (17),11
9515,94024,,,6123,1630,14.1,75,,,86,100,,Diana/Cayuga(10),0
9680,96017,,,6124,2052,14.5,74,,,87,100,,Cayuga / Geneva Resel (26),1
9514,94025,,,6125,1729,14.5,75,,,82,100,,Pio2737w/cayuga(22),2
9503,94063,,,6126,1811,14.5,73.2,,,83,95,,Pio2737w/NY75087-39(7),4
9474,94058,,,6127,1282,13.5,73.9,,,95,100,,Diana/NY75087-39(22),5
9458,94052,,,6128,1979,15.4,73.3,,,75,100,,Pio2737w/Harus(18),4
9520,94052,,,6129,2321,15.2,74.1,,,95,100,,Pio2737w/Harus(18),6
9582,94025,,,6130,2094,14.9,74.6,,,80,100,,Pio2737w/cayuga(22),16
9496,96056,,,6131,2137,15,71.5,,,80,100,,Karena / Geneva Resel (13),0
9606,96157,,,6132,1989,14.2,72.7,,,75,100,,NY75087-39 / Pio 2737W (23),0
9492,94058,,,6133,2054,14.5,73.9,,,90,100,,Diana/NY75087-39(22),2
9443,94081,,,6134,2249,14.6,73.1,,,90,100,,Pio2737w/NY80095-6(25),0
9537,96153,,,6135,2014,14.5,74.5,,,80,100,,NY75087-39 / Geneva Resel (22),1
9499,94052,,,6136,1951,14.6,73.9,,,93,100,,Pio2737w/Harus(18),4
9447,96147,,,6137,1961,14.9,75.5,,,95,85,,NY75087-39 / AC Ron (19),0
9667,96067,,,6138,1845,14.4,74.4,,,80,93,,Pio 2545 / Geneva Resel (18),50
9613,94052,,,6139,2331,14.6,75.8,,,95,100,,Pio2737w/Harus(18),2
9692,96056,,,6140,2250,14.4,74.2,,,90,100,,Karena / Geneva Resel (13),3
9536,96033,,,6141,2207,14.1,73.9,,,90,100,,Diana / Pio 2737W (12),10
9718,CALEDONIA,,,6142,2202,14.5,73,,,83,100,,check,16
9579,94052,,,6143,2227,14.4,75.1,,,90,100,,Pio2737w/Harus(18),1
9608,96056,,,6144,2570,14.8,73.9,,,100,100,,Karena / Geneva Resel (13),8
9544,94058,,,6145,2227,15.2,73.9,,,95,100,,Diana/NY75087-39(22),6
9465,CALEDONIA,,,6146,2338,14.3,73.1,,,85,100,,check,83
9497,94025,,,6147,2409,14.3,75.7,,,80,100,,Pio2737w/cayuga(22),3
9507,94042,,,6148,2204,14,75,,,95,98,,Diana/Geneva(21),0
9576,96049,,,6149,2142,14.2,75.2,,,95,100,,Harus / Karena (16),9
9545,94081,,,6150,2449,14.9,73.9,,,85,100,,Pio2737w/NY80095-6(25),14
9657,96008,,,6151,2161,14.4,74.6,,,90,100,,Batavia / Geneva (15),1
9642,94052,,,6152,2094,14.5,74.6,,,90,100,,Pio2737w/Harus(18),6
9697,94052,,,6153,2071,14.8,73.6,,,90,95,,Pio2737w/Harus(18),4
9567,96009,,,6154,2292,14.6,72.6,,,80,100,,Batavia / Geneva Resel (23),10
9597,96052,,,6155,2432,15.3,75.3,,,90,100,,Karena / Cayuga (17),1
9596,94052,,,6156,2260,15,74.3,,,85,95,,Pio2737w/Harus(18),2
9457,96153,,,6157,2316,14,74,,,85,100,,NY75087-39 / Geneva Resel (22),9
9668,94058,,,6158,2576,15.1,74.8,,,85,100,,Diana/NY75087-39(22),9
9437,96063,,,6159,2529,11.9,73.2,,,87,100,,Pio 2545 / AC Ron (32),7
9634,94058,,,6160,1988,14.5,74.7,,,85,95,,Diana/NY75087-39(22),0
9728,CALEDONIA,,,6161,2500,14.6,72.7,,,80,100,,check,25
9486,94046,,,6162,2392,15,74.1,,,95,100,,Diana/Harus(25),0
9625,94052,,,6163,1916,14.4,74.1,,,95,95,,Pio2737w/Harus(18),1
9455,94064,,,6164,2051,15.1,72,,,80,100,,NY75087-39/Diana(19),1
9432,94077,,,6165,2322,15.6,72.5,,,85,100,,Diana/NY80095-6(30),0
9490,94042,,,6166,2320,15.5,72.4,,,90,100,,Diana/Geneva(21),2
9595,SUPERIOR,,,6167,2128,16,72.5,,,95,93,,check,17
9553,94025,,,6168,2270,16.2,74.7,,,85,98,,Pio2737w/cayuga(22),1
9670,RICHLAND,,,6169,2360,16.1,72.8,,,95,98,,check,1
9550,96011,,,6170,2411,17,71.3,,,95,100,,Batavia / Karena (18),1
9617,RICHLAND,,,6171,2241,16.4,72.4,,,95,98,,check,2
9438,94052,,,6172,2433,16.4,74.6,,,90,95,,Pio2737w/Harus(18),19
9641,96150,,,6173,2456,16.2,71.9,,,85,100,,NY75087-39 / Coker 8427 (31),5
9673,96047,,,6174,2301,15.6,73.3,,,85,100,,Harus / Geneva (28),5
9554,96052,,,6175,2475,16.6,74.4,,,87,95,,Karena / Cayuga (17),0
9523,94024,,,6176,2200,15.9,73.5,,,83,100,,Diana/Cayuga(10),9
9624,96018,,,6177,2391,16.9,74.6,,,85,100,,Cayuga / Harus (19),10
9528,96052,,,6178,2124,17.2,73,,,85,100,,Karena / Cayuga (17),3
9420,94052,,,6179,2245,15.8,74.5,,,80,93,,Pio2737w/Harus(18),67
9727,94042,,,6180,2167,15.6,72.4,,,95,100,,Diana/Geneva(21),6
9568,94052,,,6181,2009,15.5,74.1,,,95,100,,Pio2737w/Harus(18),8
9687,96153,,,6182,2252,15.2,73.4,,,85,100,,NY75087-39 / Geneva Resel (22),6
9419,RICHLAND,,,6183,2078,14.9,73.3,,,93,100,,check,3
9494,94058,,,6184,2145,15.3,73.2,,,95,95,,Diana/NY75087-39(22),8
9672,96030,,,6185,2344,16.1,72.7,,,80,100,,Diana / Geneva (35),14
9621,94042,,,6186,2275,15.9,72.1,,,90,100,,Diana/Geneva(21),7
9708,96153,,,6187,2096,15.1,73.9,,,83,100,,NY75087-39 / Geneva Resel (22),13
9648,94052,,,6188,2142,15.7,72.4,,,85,100,,Pio2737w/Harus(18),1
9552,96052,,,6189,1863,16.5,74.9,,,85,100,,Karena / Cayuga (17),3
9472,SUPERIOR,,,6190,2178,15.5,73.4,,,95,93,,check,10
9477,CALEDONIA,,,6191,2435,15.8,71.7,,,80,100,,check,27
9652,94046,,,6192,2453,14.7,73.4,,,95,100,,Diana/Harus(25),4
