GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
1279,NY10102-1-24-1279,3,2125,2666,79.8,13.5,W,6,8,146,2426,W,W,N,,,31,108,0,,,,,
1243,NY03043-1243,3,2126,2920,79,13.08,W,6,7,135,2161,W,W,N,,,31,100,1,,,,,
1297,NY10108-2-67-1297,3,2127,2648,76.9,14.25,R,6,6,106,2181,R,W,N,,,1,102,0,,,,,
1304,NY10126-3-70-1304,3,2128,2628,80.2,13.41,W,6,5,95,2439,W,W,A/N,A\N,,31,94,0,,,,95,
OH50,OH13-321-18,3,2129,2786,79.1,12.45,R,6,4,66,2162,R,W,A/N,,,25,98,1,,,,95,
1281,NY10102-1-29-1281,3,2130,2571,75.8,13.64,50W,6,3,55,2377,S,W,N,,,31,98,1,,,,,
MSU18,MSU Line F2022,3,2131,2664,79.5,13.31,W,6,2,26,2021,W,W,A,,,31,96,1,,,,100,
1287,NY10102-1-78-1287,3,2132,2604,80.2,14.16,W,6,1,15,2333,W,W,N,,,31,96,1,,,,,
1300,NY10108-2-87-1300,4,2133,2684,78.3,14.44,50W,7,1,14,2261,S,W,N,,,31,102,1,,,,,
862,NY05158-862,4,2134,2784,81.3,14.21,R,7,2,27,2376,R,BR,N,,,30,92,1,,,,,100
1183,NY01003-1183,4,2135,2502,79,13.46,W,7,3,54,2172,W,W,A,,,1,92,0,,,,100,
1081,09040-1-12-1081,4,2136,2274,79.1,13.36,W,7,4,67,2407,W,BR,N,,,2,130,2,,,Tall late wierd. very tall very late,,100
1232,NY04033-1232,4,2137,2701,80.8,12.87,W,7,5,94,2173,W,BR,N,,,1,116,1,,,,,100
716_check,NY01016-AN-716,4,2138,2772,80.4,13.22,W,7,6,107,checkPlots2015,W,W,A,,,30,105,2,,,,100,
1116,09079-6-39-1116,4,2139,2838,79.1,12.83,W,7,7,134,2237,W,BR,N,,,31,110,1,,,,,100
1363,NY11024-01-11-1363,4,2140,2910,81.1,13.02,R,7,8,147,171,R,,,,,28,112,1,,,,,
OH17,OH12-208-26,4,2141,2895,80.1,12.63,R,7,9,174,2286,R,W,N,,,27,81,0,,,,,
MSU92,MI14W0246,4,2142,2635,79.8,12.86,W,7,10,187,NA,W,,,,,30,98,0,,,,,
MSU73,MI14W0055,4,2143,2821,80.9,12.72,W,7,11,214,NA,W,,,,,28,98,0,,,,100,
1369,NY11025-07-08-1369,4,2144,2719,80,12.58,W,7,12,227,178,W,,,,,30,92,0,,,,,
602_check,OH02-12686,4,2145,3007,81.4,13,R,7,13,254,checkPlots2015,R,W,N,,,31,92,0,,,,,
OH29,OH12-284-53,4,2146,2469,81,12.86,R,7,14,267,2196,R,W,A/N,10% N,,25,100,1,,,,100,
1052,MSU Line E8052,4,2147,2962,80.6,12.83,W,7,15,294,2257,W,W,A,,,30,92,2,,,,100,
1177,NY99069-1177,4,2148,2216,81.8,12.71,W,7,16,307,2228,W,W,N,,,29,111,1,,,,,
MSU15,MSU Line F2016,4,2149,2191,78.2,12.93,W,7,17,334,2224,W,W,N,,,2,88,1,,,"leaf rust, spindle streak? Discard",,
OH32,OH12-317-57,4,2150,2615,82.2,13.02,R,7,18,347,2383,R,W,A,,,30,89,0,,,,100,
1344,NY11017-03-03-1344,4,2151,2629,80.4,13.04,R,7,19,374,149,R,,,,,30,96,2,,,Small awn,50,
1316,NY11014-10-94-1316,4,2152,2283,80.5,13.13,W,7,20,387,111,W,,,,,1,98,1,,,,,
