GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
MSU23,MSU Line F2033,4,3143,2108,77.1,14.97,95W,7,11,214,2382,W,W,A,,,30,82,1,0,0,,,
1265,NY10086-6-14-1265,4,3144,1664,75.3,14.49,W,7,12,227,2227,W,BR,N,,,30,80,1,0,2,,,
OH38,OH12-328-74,4,3145,1682,80.1,15.34,R,7,13,254,2097,S,W,N,,,28,88,1,0,4,,,
35_check,Caledonia,4,3146,2134,76.6,15.35,W,7,14,267,checkPlots2015,W,W_BR/W,N,,,31,82,1,0,2,,,
OH75,OH13-168-18,4,3147,2154,80.2,15.21,R,7,15,294,2281,R,W,N,,,28,86,1,0,2,,,
1368,NY11025-07-01-1368,4,3148,2212,78.8,15.38,W,7,16,307,177,W,,,,,30,84,1,0,0,,,
1225,NY03053-1225,4,3149,2243,81,14.27,R,7,17,334,2240,R,BR,N,,,30,84,2,0,1,,,
1248,NY03060-1248,4,3150,2224,78.5,14.83,95W,7,18,347,2034,W,W,N,,,31,88,2,0,0,,,
OH60,OH13-135-34,4,3151,2478,76.9,15.24,R,7,19,374,2413,R,W,N,,,27,92,0,0,0,,,
MSU83,MI14W0157,4,3152,2444,77,14.06,W,7,20,387,NA,W,,,,,30,94,1,0,0,,,
716_check,NY01016-AN-716,4,3153,2740,77.7,15.27,95W,7,21,414,checkPlots2015,W,W,A,,,30,96,2,0,0,,,
439,KY97C-0508-01-01A-1,4,3154,2647,79.7,14.68,R,7,22,427,2061,R,W,A,,,28,90,1,0,0,,,
1295,NY10108-2-50-1295,4,3155,2552,77.2,14.97,50W,8,22,428,2434,S,W,N,,,1,88,0,5,0,,,
1034,NY09125-16-1034,4,3156,2421,76.6,15.1,W,8,21,413,2136,W,W,A/N,A\N 10% BR,,29,88,1,4,0,,,
264_check,Medina,4,3157,2510,78.9,14.58,W,8,20,388,checkPlots2015,W,W,N,,,31,94,1,5,0,,,
602_check,OH02-12686,4,3158,2822,79.7,14.93,R,8,19,373,checkPlots2015,R,W,N,,95,30,88,0,0,0,,,
1297,NY10108-2-67-1297,4,3159,2186,77.3,14.65,R,8,18,348,2181,R,W,N,,,2,84,0,2,0,,,
OH20,OH12-259-48,4,3160,2275,80.2,15.24,R,8,17,333,2253,R,W,N,,,30,84,1,4,1,,,
841,NY05158-841,4,3161,1927,79.9,15.43,W,8,16,308,2475,W,BR,N,,,29,72,0,0,0,,,
1316,NY11014-10-94-1316,4,3162,2134,77.8,15.04,90W,8,15,293,111,W,,,,,1,92,1,0,0,,,
1282,NY10102-1-30-1282,4,3163,1984,77,14.86,R,8,14,268,2018,R,W,N,,95,31,88,1,1,6,,,
MSU1,MSU Line F0013R,4,3164,1929,80,14.88,R,8,13,253,2452,R,W,N,,,30,76,1,0,3,,,
MSU96,MI14W0255,4,3165,2123,76.7,14.62,W,8,12,228,NA,W,,,,90,29,88,2,0,3,,,
1175,NY99056-1175,4,3166,2190,76.5,14.8,W,8,11,213,2353,W,W,N,20% BR,,2,80,1,0,0,,,
1355,NY11018-08-12-1355,4,3167,2255,78,13.89,R,8,10,188,161,R,,,,95,29,82,2,0,0,,,
1318,NY11014-9-17-1318,4,3168,2202,79.1,14.52,W,8,9,173,113,W,,,,,31,90,1,0,0,,,
1303,NY10126-3-39-1303,4,3169,2178,77.6,14.79,W,8,8,148,2146,W,W,A/N,A\N,,1,90,1,4,0,,,
1363,NY11024-01-11-1363,4,3170,2238,78.3,14.24,R,8,7,133,171,R,,,,,29,90,1,2,0,,,
MSU8,MSU Line F2002,4,3171,1863,82.7,13.37,W,8,6,108,2131,W,W,A,,,31,82,2,0,0,,,
MSU75,MI14W0061,4,3172,1925,75.3,13.14,W,8,5,93,NA,W,,,,,29,78,2,0,2,,,
MSU88,MI14W0203,4,3173,2054,79.6,13.86,W,8,4,68,NA,W,,,,90,31,80,1,0,0,,,
1272,NY10102-1-02-1272,4,3174,2378,78.3,14.59,70R,8,3,53,2423,S,W,N,10% BR,,30,84,1,0,0,,,
OH28,OH12-282-67,4,3175,1845,80.4,14.51,R,8,2,28,2323,R,W,N,,95,28,86,0,0,0,,,
1269,NY10087-1-01-1269,4,3176,1396,76.1,14.65,W,8,1,13,2411,W,BR,N,,80,2,82,1,0,1,,,
MSU86,MI14R0176,5,3177,2054,79.2,14.29,R,9,1,12,NA,R,,,,95,30,80,1,0,0,,,
1284,NY10102-1-54-1284,5,3178,2084,76.9,14.69,50W,9,2,29,2080,S,W,N,,,31,80,1,0,0,,,
1116,09079-6-39-1116,5,3179,1544,76.4,14.2,W,9,3,52,2237,W,BR,N,,85,1,82,1,2,0,,,
35_check,Caledonia,5,3180,2261,78.6,13.79,W,9,4,69,checkPlots2015,W,W_BR/W,N,,,31,80,2,0,1,,,
1350,NY11018-02-10-1350,5,3181,1996,79.8,13.91,R,9,5,92,155,R,,,,,28,82,2,3,1,,,
1253,NY04047-1253,5,3182,2572,78.9,14.6,W,9,6,109,2230,W,W,N,,,31,80,2,0,0,,,
OH7,OH12-118-61,5,3183,2045,83,13.98,R,9,7,132,2232,R,W,N,,,28,82,0,0,0,,,
625,MO 080104,5,3184,2409,80.4,14.38,R,9,8,149,2098,R,W,N,,,29,94,1,0,0,,,
716_check,NY01016-AN-716,5,3185,2254,79.2,14.06,95W,9,9,172,checkPlots2015,W,W,A,,,30,86,2,0,0,,,
1227,NY03076-1227,5,3186,2053,79.3,13.9,R,9,10,189,2053,R,W,N,,85,1,80,2,0,0,,,
