Discard,Source,Entry,PLOT,PlotYldmoistcor,PlotYield,adj1,test MV10,adjustment,test MV8,adj,TW,Moisture,Lodging,HD,Sprout1,Sprout2,Sprout3,Sprout4,Sprout5,SproutMn,AdjPHS,,Harvest,Other
,238,97067,2082,2061,2151,5692,5422,5819,5271,5970,73.5,16.2,0,2,6,4,2,7,5,4.8,4.05,,17,
D,33,Geneva,2083,1913,1997,5284,5518,5315,5530,5303,73.3,16.2,0,30,3,4,3,2,3,3,2.25,,17,
,386,NY03017,2084,2106,2201,5824,5425,5948,5615,5758,74.5,16.3,0,3,1,5,0,4,2,2.4,1.65,,17,mouse
,398,NY03143,2085,1953,2043,5406,5129,5827,5161,5794,74,16.4,0,29,2,0,0,1,0,0.6,-0.15,,17,
,320,96034,2086,1997,2095,5543,5191,5902,5141,5953,76.4,16.7,0,3,2,1,5,2,4,2.8,2.05,,17,
,NY 7708,NY7088,2087,2301,2397,6342,5180,6712,5084,6808,75,16,0,2,4,5,5,5,3,4.4,3.65,,17,
,103,96009,2088,2127,2218,5869,5290,6128,5241,6177,72.6,16.1,0,30,0,7,6,3,6,4.4,3.65,,17,
,301,96009,2089,473,490,1297,5798,1048,5859,987,75.9,15.5,4,3,1,3,0,2,2,1.6,0.85,,17,bird damage
,203,94032,2090,1959,2045,5411,5529,5432,5507,5454,73.1,16.2,0,2,2,1,1,1,1,1.2,0.45,,17,
,56,W105-78,2091,2170,2282,6038,5462,6125,5459,6129,75.2,16.9,0,3,0,2,1,1,0,0.8,0.05,,17,
,211,99060,2092,2176,2293,6067,5534,6083,5432,6185,74.3,17.1,0,30,1,1,2,3,0,1.4,0.65,,17,
D,14,NY 6432-10,2093,2222,2341,6194,5638,6106,5521,6223,75.1,17.1,0,4,0,1,2,4,2,1.8,1.05,,17,
,366,99042,2094,2405,2534,6705,5646,6609,6162,6093,77.2,17.1,0,3,2,1,1,5,2,2.2,1.45,,17,
,Superior,Superior,2095,2092,2188,5789,5824,5516,6441,4898,74.1,16.4,0,3,5,3,2,2,0,2.4,1.65,,17,
,44,W105-82,2096,2215,2324,6149,6254,5445,6386,5313,75.3,16.7,0,1,0,1,2,0,5,1.6,0.85,,17,
,180,94070,2097,2435,2536,6710,6175,6085,6206,6054,72.5,16,0,4,2,5,3,1,1,2.4,1.65,,17,
,317,96025,2098,2503,2621,6935,5810,6675,5730,6755,74.1,16.5,0,2,3,3,0,3,1,2,1.25,,17,
,383,99068,2099,2423,2543,6729,5810,6469,5650,6629,75.5,16.7,0,4,0,1,0,0,0,0.2,-0.55,,17,Mixed
,Jensen,Jensen,2100,2157,2252,5959,5737,5772,5609,5900,74.6,16.2,0,4,2,3,0,0,3,1.6,0.85,,17,mouse
,78,94025,2101,1883,1959,5184,5666,5067,5590,5143,75.5,15.9,0,3,5,2,6,2,7,4.4,3.65,,17,
D,3,Fulcaster4862,2102,954,988,2614,5892,2272,5758,2406,76.6,15.4,3,2,2,3,8,1,7,4.2,3.45,,17,
,361,99028,2103,2107,2213,5856,5492,5913,5160,6246,76.6,16.8,0,1,0,0,3,0,2,1,0.25,,17,
,367,99046,2104,1699,1774,4694,5484,4760,5147,5097,73.1,16.2,1,3,1,1,2,0,2,1.2,0.45,,17,
,363,99029,2105,1902,1975,5226,5335,5441,5082,5693,74.9,15.7,0,4,4,6,7,2,2,4.2,3.45,,17,
,175,94052,2106,1984,2071,5480,5199,5830,5106,5923,74.1,16.2,0,3,7,6,7,5,7,6.4,5.65,,17,
,309,96021,2107,1948,2038,5393,5218,5725,5547,5395,75.6,16.4,0,3,0,0,0,0,1,0.2,-0.55,,17,
,311,96021,2108,1974,2065,5464,5233,5781,5483,5531,76.2,16.4,0,3,2,1,1,6,1,2.2,1.45,,17,
,NY 7708,NY7088,2109,2168,2258,5975,5530,5994,5594,5930,73.5,16,0,1,0,1,7,0,5,2.6,1.85,,17,
,364,99029,2110,2042,2127,5628,5513,5665,5651,5527,74.9,16,0,3,1,0,0,3,5,1.8,1.05,,17,
,104,94046,2111,2193,2289,6057,5538,6069,5584,6023,72.5,16.2,0,2,7,8,7,7,5,6.8,6.05,,17,
,109,96002,2112,1954,2044,5408,5597,5362,5637,5322,73.1,16.4,0,4,5,3,1,6,2,3.4,2.65,,17,
,51,W105-151,2113,2196,2304,6096,5522,6124,5545,6101,75.1,16.7,0,3,1,1,6,6,3,3.4,2.65,,17,
,351,99010,2114,1926,2017,5337,5636,5250,5615,5271,74.9,16.5,0,2,2,2,4,5,3,3.2,2.45,,17,mouse
D,291,Ashley,2115,1938,2029,5369,5587,5332,5533,5385,72.9,16.5,0,1,4,1,4,3,3,3,2.25,,17,
,58,94046,2116,1873,1953,5168,5548,5169,5474,5243,75.7,16.1,0,4,0,1,1,3,1,1.2,0.45,2.9,17,
,Caledonia,Caledonia,2117,1960,2048,5419,5530,5439,5480,5489,72.4,16.3,0,2,0,3,0,0,0,0.6,0.85,,13-Jul,
,229,99029,2118,2105,2184,5779,5470,5858,5400,5929,75.3,15.6,0,30,5,0,4,6,2,3.4,3.65,,13-Jul,
,188,96056,2119,1820,1890,5001,5571,4980,5535,5016,73.7,15.7,0,4,0,0,0,5,1,1.2,1.45,,13-Jul,
,382,99066,2120,1962,2035,5385,5501,5434,5537,5397,73.7,15.6,0,2,1,1,1,3,4,2,2.25,,13-Jul,
,125,94081,2121,2062,2155,5702,5591,5661,5672,5580,72.1,16.3,0,3,0,2,0,4,3,1.8,2.05,,13-Jul,
,369,99046,2122,2093,2199,5819,5703,5665,5806,5563,73.7,16.8,0,3,5,5,4,2,4,4,4.25,,13-Jul,
,NY 7708,NY7088,2123,2050,2131,5639,5800,5389,5850,5339,74.1,15.8,0,30,5,5,6,6,5,5.4,5.65,,13-Jul,
,226,96016,2124,2079,2182,5774,5837,5486,5949,5374,74.1,16.7,0,3,2,5,1,2,4,2.8,3.05,,13-Jul,
,220,99043,2125,2371,2480,6562,5770,6341,5915,6197,73.5,16.4,0,3,4,4,4,4,4,4,4.25,,13-Jul,
,150,94046,2126,2409,2496,6604,5864,6290,5944,6210,73.5,15.5,0,1,1,2,0,0,1,0.8,1.05,,13-Jul,
,124,94058,2127,2168,2249,5951,5896,5605,5929,5571,72.7,15.6,0,2,0,3,1,1,5,2,2.25,,13-Jul,Mixed
,111,94052,2128,2174,2241,5930,5998,5482,6065,5414,74.1,15,0,30,0,1,0,4,3,1.6,1.85,,13-Jul,
,Cal Res L,Cal Res L,2129,2139,2230,5901,6040,5410,6124,5327,73.1,16.1,0,29,0,1,0,0,3,0.8,1.05,,13-Jul,
,275,NY103-208-7263,2130,2148,2259,5977,5861,5666,5784,5743,76.5,16.9,0,4,3,3,4,4,4,3.6,3.85,,13-Jul,
,242,99012,2131,1837,1908,5049,5910,4688,5741,4857,73.1,15.7,0,30,1,2,5,2,1,2.2,2.45,,13-Jul,
,169,96030,2132,2424,2533,6702,5678,6574,5528,6724,73.5,16.3,0,2,0,0,0,0,0,0,0.25,,13-Jul,
,375,99059,2133,2245,2348,6213,5648,6115,5574,6188,74.7,16.4,0,4,1,3,4,4,-,3,3.25,,13-Jul,
