Discard,Source,Entry,PLOT,PlotYldmoistcor,PlotYield,adj1,test MV10,adjustment,test MV8,adj,TW,Moisture,Lodging,HD,Sprout1,Sprout2,Sprout3,Sprout4,Sprout5,SproutMn,AdjPHS,,Harvest,Other
,319,96030,2399,2032,2128,5631,5764,5416,5819,5361,72.7,16.5,0,2,1,1,0,1,1,0.8,1.05,,13-Jul,
,286,NYW103-168-9149,2400,2009,2097,5549,5727,5371,5834,5264,77.5,16.2,0,29,0,0,0,0,0,0,0.25,,13-Jul,
,186,96018,2401,2251,2347,6210,5701,6059,5683,6077,74.7,16.1,0,30,1,2,0,0,3,1.2,1.45,,13-Jul,
,Caledonia,Caledonia,2402,2189,2268,6001,5771,5780,5720,5831,73,15.5,0,2,0,2,1,0,1,0.8,1.05,,13-Jul,
,338,96195,2403,2196,2278,6028,5678,5900,5695,5883,74.3,15.6,0,3,4,7,4,5,5,5,5.25,,13-Jul,
,39,W105-34,2404,1963,2053,5432,5761,5221,5819,5163,75.5,16.4,0,1,3,3,2,2,2,2.4,2.65,,13-Jul,
,105,94025,2405,2029,2118,5604,5710,5444,5740,5414,73.8,16.2,0,29,0,4,0,0,2,1.2,1.45,,13-Jul,
,194,94032,2406,2141,2223,5882,5598,5834,5527,5904,71.9,15.7,0,1,2,1,0,1,2,1.2,1.45,,13-Jul,
,243,96043,2407,1902,1983,5247,5609,5187,5485,5312,73.5,16.1,0,5,2,0,5,5,5,3.4,3.65,,13-Jul,
,374,99056,2408,2165,2279,6030,5424,6156,5276,6304,72.5,17,0,1,0,1,0,1,0,0.4,0.65,,13-Jul,
,222,99025,2409,1835,1924,5091,5396,5244,5313,5328,75.5,16.6,0,1,3,1,4,1,5,2.8,3.05,,13-Jul,
,Superior,Superior,2410,1728,1809,4787,5310,5026,5258,5078,72.9,16.5,0,3,0,0,1,2,1,0.8,1.05,,13-Jul,
,115,96017,2411,1816,1900,5027,5269,5308,5151,5426,73.5,16.4,0,3,3,0,4,0,0,1.4,1.65,,13-Jul,Bad Planting
,94,W105-146,2412,1858,1941,5136,5186,5500,5091,5595,75.1,16.3,0,1,2,4,4,4,2,3.2,3.45,,13-Jul,
,223,99068,2413,1729,1810,4789,5183,5156,5069,5270,74.5,16.5,0,3,0,0,0,0,0,0,0.25,,13-Jul,
,294,E1008,2414,1754,1837,4861,5154,5257,5052,5359,74.8,16.5,0,1,1,5,3,4,5,3.6,3.85,,13-Jul,
,298,88044,2415,1908,1990,5266,5111,5704,5154,5661,76.5,16.1,0,2,0,3,5,5,3,3.2,3.45,,13-Jul,
,196,96047,2416,1773,1843,4877,5049,5377,5085,5342,73.6,15.8,0,3,5,2,0,0,2,1.8,2.05,,13-Jul,
,Cal Res L,Cal Res L,2417,1995,2082,5509,5056,6003,5049,6009,72,16.2,0,29,1,1,0,0,0,0.4,0.65,,13-Jul,
,396,NY03143,2418,1819,1899,5025,4911,5663,4898,5676,75.1,16.2,0,28,0,1,2,0,0,0.6,0.85,,13-Jul,
,170,94042,2419,2171,2271,6009,4883,6676,4897,6662,72.5,16.4,0,2,0,1,3,5,3,2.4,2.65,,13-Jul,
D,262,Jensen,2420,1477,1543,4083,5220,4413,5259,4374,74.1,16.3,0,4,2,1,2,0,0,1,1.25,,13-Jul,
,292,E3003,2421,1978,2073,5485,5184,5851,5213,5822,73.9,16.6,0,6,3,5,3,3,4,3.6,3.85,,13-Jul,
D,12,Rural New Yorker,2422,1131,1171,3098,5544,3105,5631,3017,76.6,15.4,0,7,1,4,0,0,1,1.2,1.45,,13-Jul,
,93,94042,2423,2108,2205,5834,5400,5984,5434,5950,75.3,16.4,0,4,1,1,0,2,0,0.8,1.05,,13-Jul,
,293,E3012,2424,2259,2356,6234,5408,6375,5381,6402,72.9,16.1,0,3,0,2,1,0,0,0.6,0.85,,13-Jul,
,202,96152,2425,2162,2233,5909,5531,5927,5653,5805,74.3,15.2,0,2,2,0,6,1,0,1.8,2.05,,13-Jul,
,341,96195,2426,2343,2446,6472,5460,6562,5629,6392,75.1,16.2,0,3,1,1,1,4,0,1.4,1.65,,13-Jul,
,227,99045,2427,2245,2336,6181,5625,6106,5958,5773,74.7,15.9,0,3,1,0,0,3,0,0.8,1.05,,13-Jul,
,81,93308,2428,2175,2263,5988,5710,5828,6020,5517,73.9,15.9,0,2,5,2,0,0,0,1.4,1.65,,13-Jul,
,63,94025,2429,2138,2241,5930,6013,5467,6007,5472,76.1,16.6,0,1,4,4,3,5,1,3.4,3.65,,13-Jul,
D,27,Arrow,2430,2137,2215,5861,6020,5390,6007,5403,73.6,15.5,0,3,0,1,1,2,2,1.2,1.45,,13-Jul,
,326,96155,2431,1965,2055,5438,5899,5088,5826,5161,74.1,16.4,0,3,0,0,0,0,1,0.2,0.45,,13-Jul,
D,35,Caledonia,2432,2227,2320,6139,5849,5840,5729,5959,73,16,0,3,1,0,1,0,2,0.8,1.05,,13-Jul,
,NY 7708,NY7088,2433,2214,2294,6070,5818,5802,5751,5868,74.2,15.5,0,1,1,3,0,0,5,1.8,2.05,,13-Jul,
,97,94025,2434,2126,2208,5842,5924,5468,5915,5477,76.3,15.7,0,3,0,0,0,1,0,0.2,0.45,,13-Jul,
,131,96056,2435,1668,1738,4599,6010,4138,6039,4110,73.6,16,0,2,2,3,1,1,0,1.4,1.65,,13-Jul,
,147,94058,2436,2213,2308,6107,5734,5922,5756,5901,74.4,16.1,0,3,5,0,1,2,0,1.6,1.85,,13-Jul,
,Jensen,Jensen,2437,2214,2304,6096,5738,5908,5726,5920,74.3,15.9,0,4,0,0,1,0,0,0.2,0.45,,13-Jul,
,82,94052,2438,2522,2649,7009,5701,6858,5601,6958,73.6,16.8,0,4,0,1,0,0,0,0.2,0.45,,13-Jul,Mixed
D,29,Ticonderoga,2439,2048,2120,5610,5783,5377,5739,5420,72,15.4,0,6,0,0,0,1,1,0.4,0.65,,13-Jul,
,173,96052,2440,1689,1769,4681,5849,4382,6006,4225,74.8,16.5,0,3,2,1,1,5,5,2.8,3.05,,13-Jul,
,295,E1009,2441,2137,2226,5890,5696,5744,5781,5659,74.3,16,0,3,1,0,0,0,1,0.4,0.65,,13-Jul,
,Caledonia,Caledonia,2442,2165,2260,5980,5824,5706,5755,5775,72.7,16.2,0,2,0,0,0,1,0,0.2,0.45,,13-Jul,
,270,Cal 4PHS-10,2443,2012,2098,5551,5815,5286,5631,5470,74.4,16.1,0,2,0,2,0,0,0,0.4,0.65,,13-Jul,
,129,96067,2444,2103,2193,5803,5704,5648,5553,5799,73.9,16.1,0,5,0,0,3,1,0,0.8,1.05,,13-Jul,
,167,96153,2445,2005,2086,5520,5620,5449,5739,5331,74.5,15.9,0,30,0,1,0,0,0,0.2,0.45,,13-Jul,
,130,94052,2446,2163,2258,5975,5575,5950,5647,5877,74.5,16.2,0,4,0,1,1,1,0,0.6,0.85,,13-Jul,Mixed
,278,NYW103-70-9232,2447,2025,2112,5588,5722,5416,5669,5469,77.8,16.1,0,1,1,3,0,0,2,1.2,1.45,,13-Jul,
,75,94025,2448,1901,1980,5239,5807,4982,5817,4972,76.2,16,0,4,0,1,1,1,0,0.6,0.85,,13-Jul,
,193,94077,2449,2141,2223,5882,5780,5652,5805,5626,72.2,15.7,0,5,4,1,2,5,0,2.4,2.65,,13-Jul,
,151,94052,2450,2040,2121,5612,5816,5345,5855,5307,73.4,15.8,0,4,6,5,6,3,7,5.4,5.65,,13-Jul,
,379,99066,2451,2089,2181,5771,5753,5568,5754,5567,74.7,16.2,0,3,0,2,4,2,1,1.8,2.05,,13-Jul,
D,263,CaledoniaResel-L,2452,2310,2414,6387,5229,6708,5091,6847,73.5,16.3,0,30,0,0,0,3,1,0.8,1.05,,13-Jul,
,98,94052,2453,2290,2400,6350,5255,6645,5215,6685,73.7,16.6,0,3,1,3,2,0,0,1.2,1.45,,13-Jul,Mixed
,Superior,Superior,2454,2045,2135,5649,5345,5854,5291,5908,73.6,16.2,0,4,0,3,1,3,0,1.4,1.65,,13-Jul,
,313,96021,2455,1919,2012,5324,5524,5349,5469,5405,75.6,16.6,0,5,2,0,0,0,1,0.6,0.85,,13-Jul,
D,8,Jones Fife,2456,332,339,897,5982,465,6054,392,73.3,14,4,5,5,2,1,0,1,1.8,2.05,,13-Jul,mouse+bird
,345,97068,2457,2238,2343,6200,5452,6298,5392,6358,73.7,16.5,0,6,7,6,5,5,4,5.4,5.65,,13-Jul,
,67,W105-137,2458,2084,2187,5787,5493,5844,5443,5893,75.4,16.7,0,2,0,0,0,1,0,0.2,0.45,,13-Jul,Mixed
,358,99023,2459,2421,2535,6708,5401,6857,5328,6929,74.1,16.5,0,4,4,5,5,4,5,4.6,4.85,,13-Jul,
,Richland,Richland,2460,2183,2279,6030,5468,6111,5413,6167,75.5,16.2,0,3,5,0,0,1,2,1.6,1.85,1.9,13-Jul,
,,,,,,,,,,,,,,,,,,,,2.2,,,,
